Section,Priority,Part,Supplier,Listing URL,Part Number or Reference,Price Value,Price Currency,Price Status,Stock Status,Notes
Buy-now,High,Oil filter service kit,KEDO,https://www.kedo.com/kedo-oil-filter-kit-7-pieces-complete.html,91628,8.43,EUR,Fixed,In stock,"TT600 and XT600 family applications listed"
Buy-now,High,Air filter,KEDO,https://www.kedo.com/air-filter-oem-reference-34k-14451-01.html,33112 / 34K-14451-01,18.50,EUR,Fixed,In stock,"TT600-'92 and TT600E+S listed"
Buy-now,High,Spark plug DPR8EA-9,KEDO,https://www.kedo.com/ngk-spark-plug-dpr8ea-9-interference-suppressed.html,40008 / DPR8EA-9,4.20,EUR,Fixed,In stock,"Interference-suppressed NGK plug"
Buy-now,High,Carburettor repair kit,KEDO,https://www.kedo.com/carburettor-repair-kit-tt600r-re-needs-in-addition-gasket-22305.html,94012,21.50,EUR,Fixed,In stock,"TEIKEI carb kit, TT/XT family listed"
Buy-now,High,Intake manifold set left and right with O-rings,KEDO,https://www.kedo.com/intake-manifold-set-left-right-incl-o-rings-unrestricted-version-2.html,,39.90,EUR,Fixed,Unknown,"Captured from related items on KEDO carb kit page"
Buy-now,Medium,Crankcase cover Allen screw set,KEDO,https://www.kedo.com/allen-screw-set-for-crankcase-cover-8-8-zinc-coated-10236.html,10236,8.95,EUR,Fixed,In stock,"Useful if original JIS heads are damaged"
Buy-now,Medium,Magnetic oil drain plug M14x1.5,KEDO,https://www.kedo.com/oil-drain-plug-magnetic-m14x1-5-a-f19mm-gasket-see-94026.html,40535,12.50,EUR,Fixed,In stock,"Magnetic capture of metallic residue"
Buy-now,Medium,Copper washer 14x20x1.5,KEDO,https://www.kedo.com/cu-washer-14x20x1-5mm.html,94026,0.29,EUR,Fixed,Unknown,"Drain plug sealing washer"
Buy-now,Medium,Tank silent-bloc,Yamaha OEM via Pieces-Yam,https://www.pieces-yam.com/yamaha-moto/affectation_pieces_detachees/1W1241820100,1W1241820100,7.70,EUR,Fixed,Live page,"OEM part page with TT600W fitment row shown"
12V core,Critical,CDI replacement option new aftermarket,RegulatorRectifier,https://www.regulatorrectifier.com/products/1990-2002-yamaha-xt600e-3tb-performance-ignitor-unit-assy-cdi-unit,3TB-82305-00-00 / 3TB-82305-10-00,299.99,USD,Fixed,Live page,"Use only in full 3TB conversion strategy"
12V core,Critical,XT600 3TB stator used,eBay FR,https://www.ebay.fr/sch/i.html?_nkw=XT600+3TB+stator,,0,EUR,Market,Blocked,"Price unreadable due to cookie wall; source as matched donor set"
12V core,Critical,XT600 3TB flywheel used,eBay FR,https://www.ebay.fr/sch/i.html?_nkw=XT600+3TB+flywheel,,0,EUR,Market,Blocked,"Must match stator and CDI generation"
12V core,Critical,XT600 3TB CDI used,eBay FR,https://www.ebay.fr/sch/i.html?_nkw=3TB-82305-00,3TB-82305-00,0,EUR,Market,Blocked,"Verify markings and connector count"
12V core,Critical,XT600 3TB regulator rectifier used or new,eBay FR,https://www.ebay.fr/sch/i.html?_nkw=3TJ-81960-01,3TJ-81960-01,0,EUR,Market,Blocked,"Verify donor model and charging behavior"
12V core,High,XT600 3TB complete electrical set,Leboncoin,https://www.leboncoin.fr/recherche?text=XT600%203TB%20allumage%20complet,,0,EUR,Market,Blocked,"Best way to reduce mismatch risk"
12V core,High,XT600 3TB loom and pigtails,Leboncoin,https://www.leboncoin.fr/recherche?text=XT600%203TB%20faisceau,,0,EUR,Market,Blocked,"Useful for correct connectors and wire colors"
Optional,Optional,Oil sump gasket,KEDO,https://www.kedo.com/gasket-for-oil-sump-oem-reference-583-13414-00.html,21030 / 583-13414-00,3.50,EUR,Fixed,In stock,"Optional add-on while ordering service items"
Optional,Optional,Oil change set complete,KEDO,https://www.kedo.com/oil-change-set-500cc-w-3l-oil-20w50-mineral-motorcycle-oil-oil-sump-gasket-oil-filter-gaskets-o-rings.html,91090,50.70,EUR,Fixed,Unknown,"Alternative bundle instead of separate oil service lines"
